event_date,location,country,latitude,longitude,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,publication_date,event_year,total_occupants,fatality_rate,serious_injury_rate,destroyed,make_model
2021-07-04,"Ogden, UT",United States,411142N,0112044W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,180C,No,1,Reciprocating,Personal,0,0,0,2,VMC,2021-11-16,2021,2,0.0,0.0,0,Cessna Aircraft Company_180C
2021-07-04,"Coeur D Alene, ID",United States,475030N,0116157W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,182C,No,1,Reciprocating,Personal,0,0,0,2,VMC,2021-09-20,2021,2,0.0,0.0,0,Cessna Aircraft Company_182C
2021-07-05,"Wapakoneta, OH",United States,402937N,0841753W,Non-Fatal,Substantial,Airplane,Aeronca,11AC,No,1,Reciprocating,Personal,0,0,0,1,VMC,2021-12-17,2021,1,0.0,0.0,0,Aeronca_11AC
2021-07-05,"Blanco, TX",United States,003061N,0982616W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,A185F,No,1,Reciprocating,Personal,0,0,0,1,VMC,2021-09-22,2021,1,0.0,0.0,0,Cessna Aircraft Company_A185F
2021-07-06,"Kenney Lake, AK",United States,614354N,1445637W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,185,No,1,Reciprocating,Personal,0,0,0,1,VMC,2021-12-17,2021,1,0.0,0.0,0,Cessna Aircraft Company_185
2021-07-06,"Manteo, NC",United States,355511N,0754142W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA46-500TP,No,1,,Personal,0,0,0,2,VMC,2021-07-26,2021,2,0.0,0.0,0,Piper Aircraft_PA46-500TP
2021-07-06,"Nappanee, IN",United States,412634N,0855939E,Non-Fatal,Substantial,Airplane,Air Tractor Inc,AT-602,No,1,,Aerial Application,0,0,0,1,VMC,2021-11-16,2021,1,0.0,0.0,0,Air Tractor Inc_AT-602
2021-07-07,"Bishopville, SC",United States,341440N,0801410W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-28-140,No,1,,Instructional,0,0,0,2,VMC,,2021,2,0.0,0.0,0,Piper Aircraft_PA-28-140
2021-07-07,"Anchorage, AK",United States,061943N,1495910W,Non-Fatal,Substantial,Airplane,Maule,M-5-210C,No,1,,Personal,0,0,0,1,VMC,,2021,1,0.0,0.0,0,Maule_M-5-210C
2021-07-07,"Greensboro, NC",United States,003665N,0795628W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-28-140,No,1,,Instructional,0,0,0,1,VMC,,2021,1,0.0,0.0,0,Piper Aircraft_PA-28-140
